title,make,model,year,condition,transmission,price
Acura MDX 2012 Blue,Acura,MDX,2012,Foreign Used,Automatic,9700000.0
Lexus GX 470 2007 White,Lexus,GX 470,2007,Foreign Used,Automatic,14050000.0
Lexus GX 470 Sport Utility 2007 Gold,Lexus,GX 470,2007,Foreign Used,Automatic,14300000.0
Toyota Sequoia 2012 Black,Toyota,Sequoia,2012,Foreign Used,Automatic,17000000.0
Lexus GX 470 Sport Utility 2007 Gray,Lexus,GX 470,2007,Foreign Used,Automatic,14000000.0
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2009 Gray,Acura,MDX SUV,2009,Foreign Used,Automatic,9300000.0
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2011 Silver,Acura,MDX SUV,2011,Foreign Used,Automatic,9300000.0
Toyota Camry 2008 Silver,Toyota,Camry,2008,Foreign Used,Automatic,8000000.0
Toyota Sequoia 2015 Black,Toyota,Sequoia,2015,Foreign Used,Automatic,18200000.0
Toyota Sequoia 2015 Silver,Toyota,Sequoia,2015,Foreign Used,Automatic,18000000.0
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2011 Black,Acura,MDX Advance,2011,Foreign Used,Automatic,9000000.0
Acura MDX 2012 Red,Acura,MDX,2012,Foreign Used,Automatic,9500000.0
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2011 Gray,Acura,MDX SUV,2011,Foreign Used,Automatic,9300000.0
Acura MDX 2012 Silver,Acura,MDX,2012,Foreign Used,Automatic,9500000.0
Acura MDX 2016 Gray,Acura,MDX,2016,Foreign Used,Automatic,15000000.0
Toyota Tacoma 2010 Silver,Toyota,Tacoma,2010,Foreign Used,Automatic,18000000.0
Toyota Tundra 2020 Brown,Toyota,Tundra,2020,Foreign Used,Automatic,30000000.0
Acura MDX 2011 Red,Acura,MDX,2011,Foreign Used,Automatic,10300000.0
Toyota Highlander Limited 2010 Green,Toyota,Highlander Limited,2010,Foreign Used,Automatic,12000000.0
Toyota Highlander Limited 3.5L 2WD 2013 Brown,Toyota,Highlander Limited,2013,Foreign Used,Automatic,15000000.0
Lexus RX 2015 Black,Lexus,RX,2015,Foreign Used,Automatic,20000000.0
Acura MDX 2008 Green,Acura,MDX,2008,Foreign Used,Automatic,8000000.0
Acura MDX 2015 White,Acura,MDX,2015,Foreign Used,Automatic,13000000.0
Acura MDX 2016 Black,Acura,MDX,2016,Foreign Used,Automatic,15000000.0
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Silver,Acura,MDX SUV,2008,Foreign Used,Automatic,9000000.0
Acura MDX 2009 Gray,Acura,MDX,2009,Foreign Used,Automatic,9000000.0
Toyota Sequoia 2007 White,Toyota,Sequoia,2007,Foreign Used,Automatic,12800000.0
Lexus GX 470 Sport Utility 2007 White,Lexus,GX 470,2007,Foreign Used,Automatic,14500000.0
Lexus GX 470 2007 Silver,Lexus,GX 470,2007,Foreign Used,Automatic,14200000.0
Lexus GX 470 2007 Gold,Lexus,GX 470,2007,Foreign Used,Automatic,14250000.0
Toyota Tacoma 2015 Brown,Toyota,Tacoma,2015,Foreign Used,Automatic,21000000.0
Toyota Tacoma 2015 White,Toyota,Tacoma,2015,Foreign Used,Automatic,20000000.0
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 White,Acura,MDX SH,2016,Foreign Used,Automatic,14000000.0
Toyota Sequoia 2015 Black,Toyota,Sequoia,2015,Foreign Used,Automatic,18000000.0
Toyota Sequoia 2017 Black,Toyota,Sequoia,2017,Foreign Used,Automatic,25000000.0
Toyota Highlander Limited 2010 Red,Toyota,Highlander Limited,2010,Foreign Used,Automatic,12000000.0
Lexus RX 2015 Red,Lexus,RX,2015,Foreign Used,Automatic,20000000.0
Acura MDX 2015 White,Acura,MDX,2015,Foreign Used,Automatic,13000000.0
Acura MDX 2011 White,Acura,MDX,2011,Foreign Used,Automatic,9400000.0
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Blue,Toyota,Camry SE,2009,Local Used,Automatic,5890000.0
